report_id,date,day,source_reliability,narrative,mentioned_entity_ids,ground_truth_flag
UP-INTEL-0001,2024-07-22,204,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Jhansi. Cash routing managed through hawala operators.,UP00137,syndicate_intel
UP-INTEL-0002,2024-01-30,30,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Ayodhya. Cash routing managed through hawala operators.,UP00049,syndicate_intel
UP-INTEL-0003,2024-07-20,202,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Prayagraj. Cash routing managed through hawala operators.,UP00145,syndicate_intel
UP-INTEL-0004,2024-05-07,128,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Lucknow. Cash routing managed through hawala operators.,UP00089,syndicate_intel
UP-INTEL-0005,2024-03-09,69,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Bareilly. Cash routing managed through hawala operators.,UP00127,syndicate_intel
UP-INTEL-0006,2024-01-02,2,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Prayagraj. Cash routing managed through hawala operators.,UP00158,syndicate_intel
UP-INTEL-0007,2024-05-08,129,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Jhansi. Cash routing managed through hawala operators.,UP00045,syndicate_intel
UP-INTEL-0008,2024-03-01,61,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Lucknow. Cash routing managed through hawala operators.,UP00103,syndicate_intel
UP-INTEL-0009,2024-07-25,207,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Prayagraj. Cash routing managed through hawala operators.,UP00078,syndicate_intel
UP-INTEL-0010,2024-01-31,31,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gorakhpur. Cash routing managed through hawala operators.,UP00117,syndicate_intel
UP-INTEL-0011,2024-06-02,154,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Kanpur Nagar. Cash routing managed through hawala operators.,UP00172,syndicate_intel
UP-INTEL-0012,2024-04-25,116,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Prayagraj. Cash routing managed through hawala operators.,UP00065,syndicate_intel
UP-INTEL-0013,2024-07-18,200,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Ayodhya. Cash routing managed through hawala operators.,UP00178,syndicate_intel
UP-INTEL-0014,2024-08-12,225,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gautam Buddha Nagar (Noida). Cash routing managed through hawala operators.,UP00127,syndicate_intel
UP-INTEL-0015,2024-01-11,11,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Meerut. Cash routing managed through hawala operators.,UP00120,syndicate_intel
UP-INTEL-0016,2024-02-19,50,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Kanpur Nagar. Cash routing managed through hawala operators.,UP00021,syndicate_intel
UP-INTEL-0017,2024-07-10,192,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Lucknow. Cash routing managed through hawala operators.,UP00019,syndicate_intel
UP-INTEL-0018,2024-03-21,81,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gorakhpur. Cash routing managed through hawala operators.,UP00024,syndicate_intel
UP-INTEL-0019,2024-07-02,184,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Prayagraj. Cash routing managed through hawala operators.,UP00196,syndicate_intel
UP-INTEL-0020,2024-03-07,67,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Ayodhya. Cash routing managed through hawala operators.,UP00006,syndicate_intel
UP-INTEL-0021,2024-01-13,13,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Lucknow. Cash routing managed through hawala operators.,UP00187,syndicate_intel
UP-INTEL-0022,2024-07-13,195,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Lucknow. Cash routing managed through hawala operators.,UP00155,syndicate_intel
UP-INTEL-0023,2024-04-24,115,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Varanasi. Cash routing managed through hawala operators.,UP00051,syndicate_intel
UP-INTEL-0024,2024-06-17,169,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Varanasi. Cash routing managed through hawala operators.,UP00128,syndicate_intel
UP-INTEL-0025,2024-04-28,119,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Bareilly. Cash routing managed through hawala operators.,UP00039,syndicate_intel
UP-INTEL-0026,2024-05-04,125,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Varanasi. Cash routing managed through hawala operators.,UP00039,syndicate_intel
UP-INTEL-0027,2024-08-12,225,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Jhansi. Cash routing managed through hawala operators.,UP00077,syndicate_intel
UP-INTEL-0028,2024-03-19,79,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Varanasi. Cash routing managed through hawala operators.,UP00003,syndicate_intel
UP-INTEL-0029,2024-04-13,104,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gorakhpur. Cash routing managed through hawala operators.,UP00175,syndicate_intel
UP-INTEL-0030,2024-06-10,162,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Lucknow. Cash routing managed through hawala operators.,UP00178,syndicate_intel
UP-INTEL-0031,2024-01-22,22,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Prayagraj. Cash routing managed through hawala operators.,UP00155,syndicate_intel
UP-INTEL-0032,2024-08-14,227,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gorakhpur. Cash routing managed through hawala operators.,UP00094,syndicate_intel
UP-INTEL-0033,2024-02-17,48,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Agra. Cash routing managed through hawala operators.,UP00193,syndicate_intel
UP-INTEL-0034,2024-02-28,59,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gautam Buddha Nagar (Noida). Cash routing managed through hawala operators.,UP00108,syndicate_intel
UP-INTEL-0035,2024-01-22,22,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gorakhpur. Cash routing managed through hawala operators.,UP00171,syndicate_intel
UP-INTEL-0036,2024-02-01,32,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Ayodhya. Cash routing managed through hawala operators.,UP00159,syndicate_intel
UP-INTEL-0037,2024-03-22,82,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Ghaziabad. Cash routing managed through hawala operators.,UP00149,syndicate_intel
UP-INTEL-0038,2024-02-08,39,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Ayodhya. Cash routing managed through hawala operators.,UP00095,syndicate_intel
UP-INTEL-0039,2024-08-09,222,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gautam Buddha Nagar (Noida). Cash routing managed through hawala operators.,UP00082,syndicate_intel
UP-INTEL-0040,2024-02-23,54,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Agra. Cash routing managed through hawala operators.,UP00138,syndicate_intel
UP-INTEL-0041,2024-02-18,49,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Ghaziabad. Cash routing managed through hawala operators.,UP00139,syndicate_intel
UP-INTEL-0042,2024-08-18,231,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Meerut. Cash routing managed through hawala operators.,UP00134,syndicate_intel
UP-INTEL-0043,2024-04-02,93,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Agra. Cash routing managed through hawala operators.,UP00075,syndicate_intel
UP-INTEL-0044,2024-03-27,87,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Ayodhya. Cash routing managed through hawala operators.,UP00069,syndicate_intel
UP-INTEL-0045,2024-02-28,59,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Varanasi. Cash routing managed through hawala operators.,UP00183,syndicate_intel
UP-INTEL-0046,2024-06-17,169,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Ghaziabad. Cash routing managed through hawala operators.,UP00017,syndicate_intel
UP-INTEL-0047,2024-03-10,70,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Varanasi. Cash routing managed through hawala operators.,UP00052,syndicate_intel
UP-INTEL-0048,2024-07-29,211,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gautam Buddha Nagar (Noida). Cash routing managed through hawala operators.,UP00103,syndicate_intel
UP-INTEL-0049,2024-07-31,213,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Ayodhya. Cash routing managed through hawala operators.,UP00143,syndicate_intel
UP-INTEL-0050,2024-02-16,47,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gautam Buddha Nagar (Noida). Cash routing managed through hawala operators.,UP00055,syndicate_intel
UP-INTEL-0051,2024-05-12,133,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Agra. Cash routing managed through hawala operators.,UP00182,syndicate_intel
UP-INTEL-0052,2024-04-19,110,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Varanasi. Cash routing managed through hawala operators.,UP00179,syndicate_intel
UP-INTEL-0053,2024-08-22,235,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Prayagraj. Cash routing managed through hawala operators.,UP00037,syndicate_intel
UP-INTEL-0054,2024-07-28,210,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gautam Buddha Nagar (Noida). Cash routing managed through hawala operators.,UP00006,syndicate_intel
UP-INTEL-0055,2024-02-19,50,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Jhansi. Cash routing managed through hawala operators.,UP00026,syndicate_intel
UP-INTEL-0056,2024-08-27,240,B2 (Usually Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Gautam Buddha Nagar (Noida). Cash routing managed through hawala operators.,UP00007,syndicate_intel
UP-INTEL-0057,2024-08-08,221,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Bareilly. Cash routing managed through hawala operators.,UP00191,syndicate_intel
UP-INTEL-0058,2024-01-16,16,A1 (Completely Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Agra. Cash routing managed through hawala operators.,UP00034,syndicate_intel
UP-INTEL-0059,2024-01-13,13,C3 (Fairly Reliable),HUMINT operative reports illicit arms consignment moving via highway toward Varanasi. Cash routing managed through hawala operators.,UP00019,syndicate_intel
