report_id,date,day,team,location,confidence,activity_notes,ground_truth_flag
UP-SURV-0001,2024-06-17,169,STF Unit 4 (Jhansi),"Kotwali PS, Jhansi",High,Static surveillance outside suspect safehouse near Kotwali PS. Identified suspicious movement of vehicles.,core_surveillance
UP-SURV-0002,2024-06-24,176,STF Unit 3 (Gorakhpur),"Tiwaripur PS, Gorakhpur",Medium,Static surveillance outside suspect safehouse near Tiwaripur PS. Identified suspicious movement of vehicles.,core_surveillance
UP-SURV-0003,2024-03-14,74,STF Unit 6 (Gorakhpur),"Kotwali PS, Gorakhpur",Medium,Static surveillance outside suspect safehouse near Kotwali PS. Identified suspicious movement of vehicles.,core_surveillance
UP-SURV-0004,2024-01-17,17,STF Unit 1 (Ayodhya),"Raunahi PS, Ayodhya",High,Static surveillance outside suspect safehouse near Raunahi PS. Identified suspicious movement of vehicles.,core_surveillance
UP-SURV-0005,2024-03-23,83,STF Unit 1 (Varanasi),"Dashashwamedh PS, Varanasi",High,Static surveillance outside suspect safehouse near Dashashwamedh PS. Identified suspicious movement of vehicles.,core_surveillance
UP-SURV-0006,2024-06-26,178,STF Unit 4 (Ghaziabad),"Kotwali PS, Ghaziabad",Low,Static surveillance outside suspect safehouse near Kotwali PS. Identified suspicious movement of vehicles.,core_surveillance
UP-SURV-0007,2024-02-19,50,STF Unit 6 (Gautam Buddha Nagar (Noida)),"Surajpur PS, Gautam Buddha Nagar (Noida)",High,Static surveillance outside suspect safehouse near Surajpur PS. Identified suspicious movement of vehicles.,core_surveillance
UP-SURV-0008,2024-01-24,24,STF Unit 4 (Ayodhya),"Ayodhya Kotwali PS, Ayodhya",Medium,Static surveillance outside suspect safehouse near Ayodhya Kotwali PS. Identified suspicious movement of vehicles.,core_surveillance
UP-SURV-0009,2024-05-08,129,STF Unit 7 (Meerut),"Sadar Bazar PS, Meerut",High,Static surveillance outside suspect safehouse near Sadar Bazar PS. Identified suspicious movement of vehicles.,core_surveillance
UP-SURV-0010,2024-01-25,25,STF Unit 2 (Ayodhya),"Kotwali PS, Ayodhya",Low,Static surveillance outside suspect safehouse near Kotwali PS. Identified suspicious movement of vehicles.,core_surveillance
