post_id,handle,person_id,timestamp,day,location_tag,post_text,hashtags,ground_truth_flag
UP-SOC-0001,@user_up_1,UP00451,2024-03-12 17:15:00,72,"Lucknow, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0002,@user_up_2,UP00091,2024-06-30 20:15:00,182,"Agra, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0003,@user_up_3,UP00243,2024-04-12 20:15:00,103,"Lucknow, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0004,@user_up_4,UP00614,2024-06-12 18:15:00,164,"Ayodhya, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0005,@user_up_5,UP00803,2024-06-14 16:15:00,166,"Varanasi, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0006,@user_up_6,UP00687,2024-06-23 10:15:00,175,"Ayodhya, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0007,@user_up_7,UP00173,2024-04-05 13:15:00,96,"Ayodhya, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0008,@user_up_8,UP00497,2024-04-02 23:15:00,93,"Gautam Buddha Nagar (Noida), UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0009,@user_up_9,UP00494,2024-01-09 11:15:00,9,"Gorakhpur, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0010,@user_up_10,UP00050,2024-02-22 15:15:00,53,"Prayagraj, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0011,@user_up_11,UP00557,2024-05-22 22:15:00,143,"Kanpur Nagar, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0012,@user_up_12,UP00198,2024-06-23 15:15:00,175,"Kanpur Nagar, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0013,@user_up_13,UP00549,2024-08-12 22:15:00,225,"Jhansi, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0014,@user_up_14,UP00448,2024-04-23 16:15:00,114,"Jhansi, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0015,@user_up_15,UP00454,2024-01-29 20:15:00,29,"Agra, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0016,@user_up_16,UP00377,2024-08-02 17:15:00,215,"Lucknow, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0017,@user_up_17,UP00808,2024-05-03 20:15:00,124,"Kanpur Nagar, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0018,@user_up_18,UP00317,2024-05-21 11:15:00,142,"Varanasi, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0019,@user_up_19,UP00187,2024-04-24 23:15:00,115,"Kanpur Nagar, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0020,@user_up_20,UP00166,2024-06-24 21:15:00,176,"Ghaziabad, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
UP-SOC-0021,@user_up_21,UP00348,2024-02-26 13:15:00,57,"Jhansi, UP",Live meeting with associates in Lucknow. #Power #Network,"#UPgangs,#purvanchal",noise
